needleman	testing_data	hmm_aligned	rotated
10174.0	10574.0	5505.0	5557.0	
10151.0	10529.0	5355.0	5503.0	
10099.0	10524.0	5749.0	5749.0	
11176.0	11288.0	7985.0	7781.0	
11415.0	11506.0	5686.0	5726.0	
10025.0	10361.0	5926.0	6034.0	
10988.0	11120.0	8073.0	5334.0	
10340.0	10630.0	5287.0	5395.0	
10219.0	10561.0	6014.0	8514.0	
10345.0	10649.0	5343.0	5283.0	
10197.0	10517.0	5574.0	5678.0	
10965.0	11116.0	8794.0	7646.0	
10161.0	10526.0	5760.0	5776.0	
10058.0	10401.0	8069.0	8013.0	
11188.0	11359.0	6708.0	8096.0	
10523.0	10720.0	5644.0	5644.0	
10970.0	11173.0	8489.0	8489.0	
11081.0	11297.0	6701.0	6701.0	
10202.0	10564.0	5671.0	5967.0	
11121.0	11295.0	5735.0	5097.0	
10980.0	11172.0	8271.0	5400.0	
11045.0	11236.0	6976.0	6976.0	
10085.0	10468.0	6540.0	6700.0	
11121.0	11212.0	7982.0	5732.0	
10458.0	10685.0	6187.0	7943.0	
10184.0	10468.0	8137.0	5409.0	
10201.0	10464.0	7413.0	7413.0	
11338.0	11346.0	8247.0	5376.0	
11114.0	11322.0	7767.0	7927.0	
10259.0	10629.0	9094.0	5188.0	
10917.0	11109.0	5350.0	5378.0	
11371.0	11483.0	6773.0	6773.0	
11196.0	11216.0	9019.0	9019.0	
11063.0	11220.0	5732.0	5664.0	
10965.0	11170.0	8191.0	5149.0	
11487.0	11461.0	5695.0	5299.0	
11306.0	11403.0	5745.0	5593.0	
11181.0	11317.0	5676.0	5764.0	
11178.0	11354.0	5467.0	5307.0	
10048.0	10450.0	5400.0	5864.0	
